customer_id,signup_date,signup_month,plan,monthly_charges,region,acquisition_channel,age_group,avg_sessions_per_week,courses_completed,support_tickets,used_mobile_app,autopay_enabled,tenure_months,churned,churn_reason,lifetime_value
CUST00001,2026-03-21,2026-03,Basic,9.87,Asia Pacific,Organic Search,35-44,0.9,1,0,1,1,3.350854139290407,0,Still Active,33.07
CUST00002,2025-04-22,2025-04,Premium,39.43,Asia Pacific,Partnership,18-24,3.2,0,1,0,0,0.7,1,No Longer Needed,27.6
CUST00003,2025-10-04,2025-10,Standard,19.6,North America,Social Media,18-24,3.0,2,0,1,0,8.869908015768726,0,Still Active,173.85
CUST00004,2026-03-17,2026-03,Standard,19.89,Latin America,Paid Ads,25-34,2.3,2,0,1,1,3.4822601839684624,0,Still Active,69.26
CUST00005,2026-04-21,2026-04,Basic,9.8,Latin America,Organic Search,25-34,1.2,4,1,0,1,2.3,0,Still Active,22.54
CUST00006,2024-07-31,2024-07,Standard,19.99,North America,Referral,35-44,3.5,4,0,0,1,22.996057818659658,0,Still Active,459.69
CUST00007,2026-06-11,2026-06,Standard,19.51,North America,Referral,18-24,1.3,3,1,0,1,0.5,1,No Longer Needed,9.76
CUST00008,2024-10-25,2024-10,Basic,9.53,North America,Social Media,25-34,1.7,1,0,0,0,3.5,1,Technical Issues,33.35
CUST00009,2026-03-02,2026-03,Basic,9.87,Latin America,Organic Search,55+,3.2,3,0,0,1,3.9750328515111693,0,Still Active,39.23
CUST00010,2025-03-22,2025-03,Basic,9.51,Europe,Organic Search,35-44,3.2,2,0,1,1,15.3,0,Still Active,145.5
CUST00011,2025-11-29,2025-11,Basic,9.68,North America,Referral,25-34,1.0,3,1,0,1,7.0,0,Still Active,67.76
CUST00012,2025-08-05,2025-08,Premium,38.89,North America,Referral,55+,0.4,0,0,0,0,10.8,0,Still Active,420.01
CUST00013,2025-03-30,2025-03,Basic,9.93,North America,Organic Search,25-34,1.9,2,0,1,1,15.0,0,Still Active,148.95
CUST00014,2026-04-05,2026-04,Premium,39.11,Europe,Paid Ads,55+,2.7,2,1,1,0,2.8580814717477003,0,Still Active,111.78
CUST00015,2025-06-24,2025-06,Basic,9.96,Europe,Referral,35-44,1.5,2,1,1,0,12.2,0,Still Active,121.51
CUST00016,2026-03-24,2026-03,Standard,19.23,Latin America,Referral,35-44,3.5,2,1,1,1,3.252299605781866,0,Still Active,62.54
CUST00017,2024-09-06,2024-09,Basic,9.63,Europe,Paid Ads,45-54,2.5,3,1,1,1,21.780551905387647,0,Still Active,209.75
CUST00018,2026-02-21,2026-02,Basic,9.67,Asia Pacific,Paid Ads,35-44,1.2,5,2,1,1,4.270696452036794,0,Still Active,41.3
CUST00019,2024-09-08,2024-09,Basic,9.86,North America,Social Media,45-54,3.0,2,0,1,1,21.7,0,Still Active,213.96
CUST00020,2025-08-27,2025-08,Basic,9.83,North America,Partnership,45-54,11.6,1,1,0,0,10.1,0,Still Active,99.28
CUST00021,2025-07-23,2025-07,Standard,19.2,Europe,Organic Search,25-34,3.6,0,0,0,1,11.268068331143231,0,Still Active,216.35
CUST00022,2025-02-25,2025-02,Premium,38.8,North America,Organic Search,25-34,0.8,2,2,0,1,16.1,0,Still Active,624.68
CUST00023,2025-05-14,2025-05,Standard,19.34,North America,Partnership,45-54,1.1,3,1,1,1,13.567674113009199,0,Still Active,262.4
CUST00024,2025-06-11,2025-06,Basic,9.87,Latin America,Paid Ads,35-44,2.0,3,0,1,0,12.6,0,Still Active,124.36
CUST00025,2025-12-22,2025-12,Basic,9.67,Europe,Referral,45-54,0.3,2,0,0,1,6.274638633377135,0,Still Active,60.68
